
Record#  BELLCONUM NCD        
    248  110437    00005444255
    249  110452    57317060350
    250  110510    57706075323
    251  110528    00005076296
    252  110536    57706075523
    253  110593    00205455626
    254  110601    00005450723
    255  110627    57706075723
    256  110643    00050526723
    257  110668    00005459013
    258  110684    06143462974
    259  110783    00205466837
    260  110809    00005479655
    261  110825    00005487523
    262  110833    00005488023
    263  110841    00005488034
    264  110866    00050525035
    265  110890    00005501523
    266  110932    00005508462
    267  110973    00005512123
    268  111047    00469510824
    269  111088    57317004215
    270  111120    57317011224
    271  111138    57317011315
    272  111161    57317005215
    273  111195    57317006215
    274  111211    00050545558
    275  111229    00050545561
    276  111278    00005531356
    277  111286    00005535923
    278  111294    00005536023
    279  111302    00005536123
    280  111310    00005536223
    281  111328    00005538758
    282  111377    00005542808
    283  111385    00005542918
    284  111401    00005543309
    285  111468    00005556023
    286  111476    00005429423
    287  111542    00005920823
    288  111575    00005921823
    289  111633    00005927029
    290  111666    00006067268
    291  111682    00006002068
    292  111690    00006002168
    293  111716    00038004010
    294  111740    00006002568
    295  111757    00006002582
    296  111765    00006002668
    297  111773    00006004168
